katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
001196,LG-001196,Céliane MyHOME riasztó rendszer akkumulátor tartó 040749-hez,0,Megszűnt termék!
001301,LG-001301,Ekinoxe burkolat 1 modul,1999,
001302,LG-001302,Ekinoxe burkolat 2 modul,2082,
001304,LG-001304,Ekinoxe burkolat 4 modul,2676,
001306,LG-101306,Ekinoxe falonkívüli 1s 6m kiselosztó,5453,
001389,LG-001389,Ekinoxe plombálókészlet,4249,
001390,LG-001390,Ekinoxe TX 850-es számú zár,6553,
001490,LG-001490,Süllyesztett Nedbox kiselosztó rögzítő készlet,7650,
001491,LG-001491,Legrand zár No850 kiselosztó kulcsos,12412,
001660,LG-001660,"Practibox modultakaró fehér, 5 modul széles, félmodulos perforációkkal",741,
001662,LG-001662,"Modultakaró, fehér RAL 9003 félmodulos osztásokkal, 13 modul széles",1268,
001664,LG-001664,"Modultakaró, fehér RAL 9003 félmodulos osztásokkal, 18 modul széles",1569,
001665,LG-001665,"Modultakaró szürke 18m,6,5 modul széles fehér ",1628,
001690,LG-001690,Legrand szigetelő-tartó előlaphoz,1796,
001691,LG-001691,"Legrand előlap vágható, 1690 tartóra rögzíthető",4940,
001917,LG-001917,Plexo3 illesztő doboz 2s kiselosztóhoz IP65,24428,
001918,LG-001918,Plexo3 illesztő doboz 3s kiselosztóhoz IP65,36878,
001955,LG-001955,"Plexo3 membrános kábelbevezető készlet ISO 2x32, 5x25 és 10x20",4941,
001956,LG-001956,ISO 20 diem végződés 100 db,16590,
001957,LG-001957,ISO 25 diem végződés 100 db,30675,
001958,LG-001958,ISO 32 diem végződés 100 db,55517,
001961,LG-001961,Plexo3 modultakaró 5m R746A,437,
001962,LG-001962,Plexo3 perforált szerelőlap 12m,13945,
001964,LG-001964,Plexo3 tömör előlap 12m,5915,
001965,LG-001965,Plexo3 tömör előlap 18m,6861,
001966,LG-001966,Plexo3 zárszerkezet No850,5736,
001967,LG-001967,Plexo3 vízszintes összekötő elem,5959,
001968,LG-001968,Plexo3 plombálható takarókészlet,5906,
001969,LG-001969,Plexo3 fali rögzítő talp 4 db,12294,
001970,LG-001970,"Plexo3 összekötő karmantyú, 2db",2129,
001971,LG-001971,Plexo3 kiselosztó szekrény adapter Plexo szerelvények rögzítéséhez,2700,Új termék!
001972,LG-001972,Plexo elosztókapocs tartó - 1 és 2 soros 12 vagy 18 mod. elosztókhoz,2081,
001973,LG-001973,Plexo3 3A 4 R sorkapocs tartó,1862,
002602,LG-002602,"Céliane MyHOME moduláris világítási kapcsoló, 4x16A, 6M ",0,Megszűnt termék!
002622,LG-002622,"Céliane MyHOME moduláris fényerőszabályzó 2x400W, EV és ELV halogénhez, 6M",0,Megszűnt termék!
002671,LG-002671,Multifunkciós fényerőszabályzó - LED-ekhez és kompakt fénycsövekhez - 1 modul,87623,
003515,LG-003515,"DALI tápegység RGB LED vezérlőkhöz, 230V, 250 mA, 16 V",0,Megszűnt termék!
003608,LG-003608,IOBL fáziskapcsoló,97335,
003659,LG-003659,Lexic fényerőszabályzó 600W izzó és halogénlámpához,76770,Készlet erejéig!
003671,LG-003671,Lexic fényerőszabályzó 1000W izzó és halogénlámpához,0,Megszűnt termék!
003900,LG-003900,"Távvezérlő tartalékvilágítási egységekhez (vezérlési lehetőségekkel), 4 DIN modul",61207,Készlet erejéig!
003901,LG-003901,"Távvezérlő tartalékvilágítási egységekhez (BE/KI), 4 DIN modul",41638,Készlet erejéig!
003928,LG-003928,"Lexic túlfeszültség-levezető 70kA cseremodul 2,0kV",24412,
003933,LG-003933,"Lexic túlfeszültség-levezető 40kA 4P 1,8kV TT,TN,IT",96146,Készlet erejéig!
003934,LG-003934,"Lexic túlfeszültség-levezető 40kA cseremodul 1,8kV",30176,
003939,LG-003939,"Lexic túlfeszültség-levezető 40kA cseremodul 1,4kV",26405,
003944,LG-003944,"Lexic túlfeszültség-levezető 15 kA cseremodul 1,2kV",16087,
003951,LG-003951,Lexic komp. túlfeszültség-levezető 2P 12kA,36168,
003953,LG-003953,Lexic komplett túlfeszültség-levezető 4P 12kA,72351,
003954,LG-003954,Lexic komp. túlfeszültség-levezető cseremodul 12kA,24754,
003971,LG-003971,Lexic komp. túlf.- levezető 1+1 N/bal  12kA,42086,
003973,LG-003973,Lexic komp. túlf.- levezető 12kA 3+1 N/bal,210008,
003974,LG-003974,Lexic komp. túlf.- levezető cserem T2/12kA,39720,
004101,LG-004101,Lexic csengő 8/12V~,7861,
004107,LG-004107,Lexic csengő 230V~,8407,
004110,LG-004110,Lexic berregő 8/12V~,12627,
004111,LG-004111,Lexic berregő 24V~,10751,
004113,LG-004113,Lexic berregő 230V~,12778,
004285,LG-004285,Lexic moduláris 2P+F csatlakozóaljzat 10/16A,8337,
004409,LG-004409,Kalapsín adapter Kat.szám 0497 56,0,Megszűnt termék!
004416,LG-004416,"Lexic csavaros fém adapter kalapos sínekhez, 10mm széles, menetes furattal",783,
004417,LG-004417,"Lexic csavaros fém adapter kalapos sínekhez, 17,5mm széles, sima furattal",1196,
004600,LG-004600,Lexic A mérő analóg ÁV csatlakozású 5A AC/DC,83702,
004602,LG-004602,Lexic A mérő analóg direkt csatlakozású AC/DC,46035,
004610,LG-004610,Lexic A mérő skála 0-50A 4600-hoz,5836,
004613,LG-004613,Lexic A mérő skála 0-100A 4600-hoz,5836,
004615,LG-004615,Lexic A mérő skála 0-200A 4600-hoz,6701,
004616,LG-004616,Lexic A mérő skála 0-250A 4600-hoz,6452,
004617,LG-004617,Lexic A mérő skála 0-300A 4600-hoz,5836,
004618,LG-004618,Lexic A mérő skála 0-400A 4600-hoz,6452,
004620,LG-004620,Lexic A mérő skála 0-600A 4600-hoz,5836,
004621,LG-004621,Lexic A mérő skála 0-800A 4600-hoz,5836,
004622,LG-004622,Lexic A mérő skála 0-1000A 4600-hoz,5836,
004624,LG-004624,Lexic A mérő skála 0-1500A 4600-hoz,5836,
004625,LG-004625,Lexic A mérő skála 0-2000A 4600-hoz,5836,
004650,LG-004650,Lexic A mérő átkapcsoló 4 állású,65419,
004652,LG-004652,Lexic V mérő átkapcsoló 4 állású,49726,
004653,LG-004653,Lexic V mérő átkapcsoló 7 állású,66125,
004655,LG-004655,Lexic átkapcsoló 1P 4 bekapcsolt állással,34755,
004656,LG-004656,Lexic átkapcsoló 2P 2 impulzusadó állással,37996,
004658,LG-004658,Lexic átkapcsoló 2P 2 bekapcsolt állással,41621,
004663,LG-004663,Lexic A/V mérő digitális ÁV 5A AC 500V AC/DC,209148,
004664,LG-004664,Lexic Hz mérő digitális 40-80Hz 230V~,329164,
004666,LG-004666,Lexic A mérő skála 0-1250A 4600-hoz,5399,
004670,LG-004670,Lexic fogyasztásmérő 1F direkt 32A imp.kimenet,55034,
004689,LG-004689,IP konverter RS 485 / Ethernet konverzióval - 2 modul,442528,
004691,LG-004691,Lexic üzemóra számláló analóg 24V~,40128,
004694,LG-004694,Lexic üzemóra számláló analóg 230V~,46489,
004704,LG-004704,Lexic lécsőházi automata kikapcsolás előjelzővel,36686,
004740,LG-004740,Lexic időrelé meghúzás késleltetés 8A 250V~,75595,
004741,LG-004741,Lexic időrelé ejtés késleltetés 8A 250V~,77355,
004742,LG-004742,Lexic időrelé ciklusismétlő 8A 250V~,96226,
004743,LG-004743,Lexic időrelé időzítő 8A 250V~,99022,
004744,LG-004744,Lexic időrelé többfunkciós 8A 250V~,117818,
004745,LG-004745,Lexic időrelé impulzusadó 8A 250V~,94683,
004801,LG-004801,Lexic elosztókapocs csupasz 4 csatlakozás,1414,
004803,LG-004803,Lexic elosztókapocs csupasz 8 csatlakozás,1611,
004805,LG-004805,Lexic elosztókapocs csupasz 14 csatlakozás,2328,
004806,LG-004806,Lexic elosztókapocs csupasz 19 csatlakozás,4799,
004807,LG-004807,Lexic elosztókapocs csupasz 24 csatlakozás,7349,
004810,LG-004810,Lexic elosztókapocs-tartó sínre szerelhető,4637,
004811,LG-004811,Lexic elosztókapocs-tartó univerzális,1433,
004817,LG-004817,Lexic elkosztókapocs-tartó üres 35 furat,2512,
004819,LG-004819,Lexic 12x2 lapos sín,3269,
004820,LG-004820,Lexic elosztókapocs félig szigetelt 4 csatlakozás,2034,
004822,LG-004822,Lexic elosztókapocs félig szigetelt 8 csatlakozás,2394,
004824,LG-004824,Lexic elosztókapocs félig szigetelt 12 csatlakozás,3154,
004825,LG-004825,Lexic elosztókapocs félig szigetelt 16 csatlakozás,3848,
004826,LG-004826,Lexic elosztókapocs félig szigetelt 21 csatlakozás,8965,
004828,LG-004828,Lexic elosztókapocs félig szigetelt 33 csatlakozás,9557,
004830,LG-004830,Lexic elosztókapocs IP2 4 védő csatlakozás zöld,1621,
004832,LG-004832,Lexic elosztókapocs IP2 8 védő csatlakozás,2148,
004834,LG-004834,Lexic elosztókapocs IP2 12 védő csatlakozás,2672,
004835,LG-004835,Lexic elosztókapocs IP2 16 védő csatlakozás,3626,
004836,LG-004836,Lexic elosztókapocs IP2 21 védő csatlakozás,9444,
004838,LG-004838,Lexic elosztókapocs IP2 33 védő csatlakozás,10439,
004840,LG-004840,Lexic elosztókapocs IP2 4 nulla csatlakozás kék,1636,
004842,LG-004842,Lexic elosztókapocs IP2 8 nulla csatlakozás,2093,
004844,LG-004844,Lexic elosztókapocs IP2 12 nulla csatlakozás,2706,
004845,LG-004845,Lexic elosztókapocs IP2 16 nulla csatlakozás,3711,
004846,LG-004846,Lexic elosztókapocs IP2 21 nulla csatlakozás,9436,
004848,LG-004848,Lexic elosztókapocs IP2 33 nulla csatlakozás,0,Megszűnt termék!
004850,LG-004850,Lexic elosztókapocs IP2 4 fázis csatlakozás fekete,1613,
004852,LG-004852,Lexic elosztókapocs IP2 8 fázis csatlakozás,2112,
004854,LG-004854,Lexic elosztókapocs IP2 12 fázis csatlakozás,2631,
004855,LG-004855,Lexic elosztókapocs IP2 16 fázis csatlakozás,4005,
004856,LG-004856,Lexic elosztókapocs IP2 21 fázis csatlakozás,10020,
004858,LG-004858,Lexic elosztókapocs IP2 33 fázis csatlakozás,10938,
004867,LG-004867,Lexic elosztókapocs 160A,11874,
004868,LG-004868,Lexic elosztókapocs 250A,14063,
004871,LG-004871,Lexic moduláris elosztóblokk 1P 125A 16 furat,23219,
004873,LG-004873,Lexic moduláris elosztóblokk 1P 250A 10 furat,29767,
004876,LG-004876,Lexic moduláris elosztóblokk 4P 125A 4x17 furat,0,Megszűnt termék!
004877,LG-004877,Lexic elosztóblokk 4P 250A 4x12 furat,105196,
004883,LG-004883,Lexic moduláris elosztóblokk 1P 160A 12 furat,24118,
005790,LG-005790,Lexic biztosítóaljzat kiolvadásjelző 250V~,3465,
005792,LG-005792,Lexic biztosítóaljzat összekötő fogantyú 2x1P,4606,
